TIME 0.002830, pos: -8.414992e-03 4.326808e-03, Found 5441
baricenter: (-0.008499999999999966, 0.004500000000000035, 0.0)
TIME 0.002840, pos: -8.614862e-03 3.922911e-03, Found 5341
baricenter: (-0.008499999999999966, 0.0035000000000000348, 0.0)
TIME 0.002850, pos: -8.795351e-03 3.509792e-03, Found 5341
baricenter: (-0.008499999999999966, 0.0035000000000000348, 0.0)
TIME 0.002860, pos: -8.956033e-03 3.088381e-03, Found 5341
baricenter: (-0.008499999999999966, 0.0035000000000000348, 0.0)
TIME 0.002870, pos: -9.096528e-03 2.659627e-03, Found 5240
baricenter: (-0.009499999999999967, 0.0025000000000000347, 0.0)
TIME 0.002880, pos: -9.216501e-03 2.224497e-03, Found 5240
baricenter: (-0.009499999999999967, 0.0025000000000000347, 0.0)
TIME 0.002890, pos: -9.315663e-03 1.783973e-03, Found 5140
baricenter: (-0.009499999999999967, 0.0015000000000000347, 0.0)
TIME 0.002900, pos: -9.393774e-03 1.339050e-03, Found 5140
baricenter: (-0.009499999999999967, 0.0015000000000000347, 0.0)
TIME 0.002910, pos: -9.450638e-03 8.907341e-04, Found 5040
baricenter: (-0.009499999999999967, 0.0005000000000000347, 0.0)
TIME 0.002920, pos: -9.486110e-03 4.400397e-04, Found 5040
baricenter: (-0.009499999999999967, 0.0005000000000000347, 0.0)
TIME 0.002930, pos: -9.500093e-03 -1.201277e-05, Found 4940
baricenter: (-0.009499999999999967, -0.0004999999999999653, 0.0)
TIME 0.002940, pos: -9.492537e-03 -4.643988e-04, Found 4940
baricenter: (-0.009499999999999967, -0.0004999999999999653, 0.0)
TIME 0.002950, pos: -9.463442e-03 -9.160922e-04, Found 4940
baricenter: (-0.009499999999999967, -0.0004999999999999653, 0.0)
TIME 0.002960, pos: -9.412858e-03 -1.366068e-03, Found 4840
baricenter: (-0.009499999999999967, -0.0014999999999999653, 0.0)
TIME 0.002970, pos: -9.340882e-03 -1.813303e-03, Found 4840
baricenter: (-0.009499999999999967, -0.0014999999999999653, 0.0)
TIME 0.002980, pos: -9.247659e-03 -2.256782e-03, Found 4740
baricenter: (-0.009499999999999967, -0.0024999999999999654, 0.0)
TIME 0.002990, pos: -9.133386e-03 -2.695495e-03, Found 4740
baricenter: (-0.009499999999999967, -0.0024999999999999654, 0.0)
TIME 0.003000, pos: -8.998303e-03 -3.128442e-03, Found 4641
baricenter: (-0.008499999999999966, -0.003499999999999965, 0.0)
TIME 0.003010, pos: -8.842702e-03 -3.554638e-03, Found 4641
baricenter: (-0.008499999999999966, -0.003499999999999965, 0.0)
TIME 0.003020, pos: -8.666918e-03 -3.973110e-03, Found 4641
baricenter: (-0.008499999999999966, -0.003499999999999965, 0.0)
TIME 0.003030, pos: -8.471335e-03 -4.382902e-03, Found 4541
baricenter: (-0.008499999999999966, -0.004499999999999966, 0.0)
TIME 0.003040, pos: -8.256380e-03 -4.783077e-03, Found 4541
baricenter: (-0.008499999999999966, -0.004499999999999966, 0.0)
TIME 0.003050, pos: -8.022526e-03 -5.172721e-03, Found 4441
baricenter: (-0.008499999999999966, -0.005499999999999966, 0.0)
TIME 0.003060, pos: -7.770289e-03 -5.550941e-03, Found 4442
baricenter: (-0.007499999999999965, -0.005499999999999966, 0.0)
